"id","author","authorLink","authorThumb","text","likes","time","timestamp","edited","hasReplies","repliesToken","numReplies","reply.id","reply.author","reply.authorLink","reply.authorThumb","reply.text","reply.likes","reply.time","reply.timestamp","reply.edited"
"UgzsrO7mY2s_6JamLs54AaABAg","Дима Михалкин","/channel/UCCBAZp-gCJMtQG4k-jCjwSA","https://yt3.ggpht.com/a/AGF-l78TEjBsn_MVtcA4lBggu_gEhak5nzkKINnsSQ=s48-c-k-c0xffffffff-no-rj-mo","https://www.youtube.com/watch?v=cJeCoCH020U\nДА НА КОЛ ЕГО ПОСАДИТЬ!) это соловьиное дерь*о",0,"11 hours ago",1574451064009,false,false,,,,,,,,,,,
"Ugy6N9j2d15D7zQXxQB4AaABAg","UZI LOOGIES","/channel/UCLW9brBWRdJWDq_opePXbWA","https://yt3.ggpht.com/a/AGF-l79S-hjT_bQbB3J_Jwz4N91y3yuXiP2d-bqt9A=s48-c-k-c0xffffffff-no-rj-mo","Соловьев лох",0,"1 day ago",1574404264012,false,false,,,,,,,,,,,
"Ugz1AnfqTzCzlolXG654AaABAg","Демид TV","/channel/UC4Lgy_tqQ4JtorXzlJgYyAg","https://yt3.ggpht.com/a/AGF-l7_MZRe2R65MdY_r9OYnHvULYu-kEUCwyyp9WA=s48-c-k-c0xffffffff-no-rj-mo","Соловьиный помёт 😂",1,"2 days ago",1574317864015,false,false,,,,,,,,,,,
"Ugx-7L4x_60NBmAlcF94AaABAg","Cyber Punk","/channel/UCUTWhSp8K35LTkN2nx5R5_Q","https://yt3.ggpht.com/a/AGF-l79CPfG7kEi59eMZ4g63kIIxsSHYryY-rT-q4g=s48-c-k-c0xffffffff-no-rj-mo","Народ не выбирает. Вова хватит громких слов.",1,"4 days ago",1574145064017,false,false,,,,,,,,,,,
"Ugy8wa-9Evy8L0B-0hZ4AaABAg","oleg gubanov","/channel/UCSBSXECCVGfZME84ZVmXi4g","https://yt3.ggpht.com/a/AGF-l7_0gItG8-kbm7tKqAwmo9jGsXIK7YRgUwxBEQ=s48-c-k-c0xffffffff-no-rj-mo","Соловьев, ты лакей путиноид",0,"5 days ago",1574058664024,false,false,,,,,,,,,,,
"UgybOQmvaUopmMmeoMR4AaABAg","Иван Петров","/channel/UCapu671ndZieGXMDF9hb_vQ","https://yt3.ggpht.com/a/AGF-l7-KrJnMPQdUFs_QGBUiG5dvQynU_O87KckqQg=s48-c-k-c0xffffffff-no-rj-mo","Ля сеньоро мудозвоно.... ))))))",0,"1 week ago",1573885864028,false,false,,,,,,,,,,,
"UgwcPwrnHtxoaJQ6mCh4AaABAg","Макс Матющенко","/channel/UCqWfKYg2TXJQswpgg_jk7dg","https://yt3.ggpht.com/a/AGF-l7-abRmTUZjnecOQ_NL8_fYWBLpX_ncumdU-Og=s48-c-k-c0xffffffff-no-rj-mo","Молодец Соловьев , все по сути и правильно !",0,"1 week ago",1573885864031,false,false,,,,,,,,,,,
"UgyL2E_cxifW_1cbhGV4AaABAg","INTIGAM669 A","/channel/UCUCWN5c7gtbgDwUBFhQd4WQ","https://yt3.ggpht.com/a/AGF-l7_P3OG5tZYYWXaybTtTbmp-wrP9h8TEgQG1iQ=s48-c-k-c0xffffffff-no-rj-mo","🔥🇦🇿ВЕЧЕРНИЙ МУДАЗВОН-🤣 В СВОЁМ АМПЛУА!В ЧУЖОЙ ЖОПЕ СОРИНКУ ИЩЕТ, А В СВОЁМ СКВАРЕШНИКЕ КОЛ НЕ ЗАМЕЧАЕТ. 🤭🤭🤭🇦🇿🔥",0,"2 weeks ago",1573281064033,false,false,,,,,,,,,,,
"UgyMjrzhKmIdN9XgW7J4AaABAg","selen45 Кузнецова","/channel/UCf7p18U57ZsJiKksT17yCKA","https://yt3.ggpht.com/a/AGF-l78ViwbxzX1agQv1rMqXKESsrMQ7nbdb6P7KFg=s48-c-k-c0xffffffff-no-rj-mo","Вечерний мудозвон",0,"3 weeks ago",1572676264035,false,false,,,,,,,,,,,
"Ugw9Yn_AdiMycHF4Ghh4AaABAg","Betton [Betton777]","/channel/UCbWUzkGNbixTAasYmtoaI-g","https://yt3.ggpht.com/a/AGF-l7-DCbajPncCUq3sXVhLIJxi2zCDHpMz3MykeA=s48-c-k-c0xffffffff-no-rj-mo","Владимир Соловьев вам тяжело было учить текст про Навального? Вы забыли произнести его Имя, фамилию и  отчество)",1,"3 weeks ago",1572676264038,false,false,,,,,,,,,,,
