,Likes,Comments,Views,Dislikes,Date
0,121724,20897,1271312,3167,2019-09-01 10:14:27
1,88887,12517,847911,1436,2019-08-30 11:14:21
2,158759,21851,1620572,1629,2019-08-29 11:56:04
3,137778,20693,1324553,1191,2019-08-28 12:20:26
4,104783,12308,997908,562,2019-08-27 11:41:01
5,224592,32444,2179839,3164,2019-08-26 13:17:32
6,73175,8532,631115,590,2019-08-22 11:32:00
7,81271,8960,823307,497,2019-08-20 10:29:48
8,144723,24209,1550924,1708,2019-08-19 12:05:31
9,107039,14519,1093521,1734,2019-08-15 13:46:20
10,195576,33342,2142881,2707,2019-08-12 10:30:23
11,258101,69737,2952276,3124,2019-08-01 09:37:05
12,113512,27567,874648,2097,2019-07-25 11:10:38
13,188903,28008,1925905,3087,2019-07-22 12:54:53
14,247646,54840,2223604,7384,2019-07-18 09:01:36
15,240362,46459,2823458,4097,2019-07-01 11:29:11
