,Likes,Comments,Views,Dislikes,Date
0,792,656,91876,261,2019-09-01 20:14:49
1,1280,451,62998,795,2019-08-31 17:32:32
2,711,192,49015,133,2019-09-01 08:00:04
3,4228,553,346485,322,2019-08-31 15:00:13
4,3810,487,360622,366,2019-08-31 08:00:05
5,316,68,17833,70,2019-08-29 05:00:01
6,533,79,32505,62,2019-08-30 14:00:05
7,1169,208,81251,79,2019-08-30 08:00:00
8,741,144,52347,64,2019-08-29 15:00:07
9,854,130,74578,81,2019-09-01 15:00:09
10,2842,701,216529,300,2019-08-27 15:00:01
11,8278,3211,940667,3484,2019-08-28 15:00:05
12,6980,2094,659922,1421,2019-08-29 08:00:03
13,1279,317,109400,168,2019-08-26 15:50:11
14,1293,324,115577,152,2019-08-27 08:00:00
15,858,216,73235,117,2019-08-28 08:00:00
16,5138,2432,501604,3716,2019-08-26 02:41:41
17,927,209,36922,463,2019-08-24 16:50:14
18,1234,376,90336,191,2019-08-24 08:00:07
19,234,63,12691,76,2019-08-22 11:00:11
20,495,162,41951,161,2019-08-22 15:00:03
21,333,139,17577,91,2019-08-20 11:59:12
22,358,86,23096,47,2019-08-30 18:00:01
23,348,43,21938,51,2019-08-26 06:00:07
24,370,72,20375,53,2019-08-23 15:00:15
25,3399,431,292071,208,2019-08-21 15:00:03
26,772,216,47790,120,2019-08-22 08:00:00
27,696,115,39455,77,2019-08-26 15:00:01
28,2961,597,288584,418,2019-08-23 08:00:05
29,917,171,87273,151,2019-08-21 08:00:09
30,2027,491,162574,261,2019-08-20 08:00:01
31,3093,939,347249,731,2019-08-19 07:40:34
32,6369,851,727285,682,2019-08-24 15:00:05
33,4978,874,535177,465,2019-08-25 15:00:02
34,1367,248,114319,183,2019-08-18 08:00:00
35,3635,351,410268,361,2019-08-25 08:00:00
36,7213,1463,456992,487,2019-08-18 15:00:10
37,233,55,9093,59,2019-08-12 15:00:11
38,706,63,58551,119,2019-08-16 08:00:07
39,667,217,60901,106,2019-08-15 08:00:00
40,2312,407,149586,160,2019-08-16 15:00:00
41,548,131,33700,74,2019-08-16 11:30:04
42,2146,1485,110963,607,2019-08-14 11:00:01
43,1167,277,93718,222,2019-08-13 15:00:06
44,3607,567,345547,311,2019-08-14 15:00:17
45,1031,210,63365,147,2019-08-17 15:00:10
46,2613,683,217709,443,2019-08-15 15:00:13
47,1020,690,66839,217,2019-08-13 08:00:00
48,638,204,47537,115,2019-08-14 08:00:00
49,2819,890,312146,871,2019-08-12 07:39:46
50,2353,352,242931,493,2019-08-10 08:00:04
51,716,238,54138,133,2019-08-11 08:00:02
52,243,36,18089,35,2019-08-12 11:00:00
53,322,86,19187,51,2019-08-12 06:00:00
54,1288,284,131048,211,2019-08-09 08:00:06
55,2146,307,176616,161,2019-08-07 15:00:00
56,377,38,22368,45,2019-08-11 15:00:00
57,948,415,57963,428,2019-08-08 08:00:00
58,215,45,8415,42,2019-08-09 11:00:05
59,241,98,13757,57,2019-08-06 11:00:05
60,441,118,36502,79,2019-08-06 15:00:09
61,2428,1605,162178,1184,2019-08-07 08:00:00
62,1767,1168,103596,440,2019-08-05 10:00:04
63,118,50,10565,90,2019-08-05 15:00:06
64,3716,2766,315238,6650,2019-08-05 02:43:54
