,text,ton,keywords,names,likes,replies
0,"Мы должны вернутся туда на правах хозяев, и собираться только в Москве, и сказать: мы ждать никого не будем, мы нанесём превентивный удар!",neutral,"['превентивный удар', 'хозяева']",,1.0,0.0
1,картина есть средневековая...Анна де рюс...портрет..хи))),neutral,"['рюс...портрет..ха', 'картина']",анна,0.0,0.0
2,Видимо монголы а тем более фино-угры не люди....бред))),negative,"['фино-угра', 'монголы']",,0.0,0.0
3,вполне возможно что запорожские казаки и участвовали...в качестве наёмников в 30 летней войне.....как и многие другие..хи кто там только не участвовал)))),neutral,"['качество наёмников', 'запорожские казаки']",,0.0,0.0
4,лови диз,neutral,[],,0.0,0.0
5,"""Соловей, петушок, пташечка, гомогеечка песенки поёт!"" ДИЗЛАЙК, СТРАЙК!",neutral,"['гомогеечка песенки', 'страйк']",,0.0,0.0
6,"51:18 как бы я не понималл, что соловьев порохобот, однако, тут он сказалл в точку ))) остальное хня, как и яков кедми проплаченый тож )",negative,"['яков', 'точка']",,0.0,0.0
7,"А что взять с клоуна , кроме анализов !",neutral,"['клоун', 'анализы']",,0.0,0.0
8,Соловьиный помёт идет на.уй,neutral,['соловьиный помёт'],,0.0,0.0
9,Вот оно как бывает Михалыч.... Когда у соловья понос..... Это не просто страшно.... Техасская резня бензопилой 8 скрестили с нападением Помидоров  убийц 3... РЕАЛЬНЫЙ КОШМАР....,negative,"['техасская резня', 'реальный кошмар']",,0.0,0.0
10,"Жирик ты на Ставрополье не Бузи, тут и я живу, человек который не допустил гея до выборов в президенты, хотя человек был по представлениям сторонников ангелом и без малого под статью я не попал, ведь подобное сложно доказать без документальных доказательств",negative,"['человек', 'представления сторонников']",,0.0,0.0
11,"Уважаем Игоря Коротченко. МОЛОДЕЦ, что выступает жёстко, мощно.   БРАВО !!!",positive,"['молодец', 'коротченко']",игорь коротченко,0.0,0.0
12,У нас как всегда Соловьев крутится как уж на сковородке единственно кто говорит справедливо это Яков,neutral,"['яков', 'соловьев']",яков,0.0,0.0
13,"Зачем эти разговоры об Украине,когда вы будете говорить о России у нас у самих проблем хватает прежде всего решать свои проблемы надо,а потом уже все прочее.",negative,"['сами проблемы', 'проблема надо,а']",,0.0,0.0
14,"Так что там с видом на жительство,Соловьев! зачем он вашей семье? Уже бежите из России?)))",neutral,"['ваша семья', 'россия']",соловьев,0.0,0.0
15,сша-это страна убийц воров и мошенников!эту страну необходимо уничтожать !потому что иначе страдать будет весь мир!и страдает кстати из-за сша!вот когда не будет сша и англии кстати!этих поганых ворюг и убийц англо-саксов мир задышит свободно!,negative,"['страна', 'убийцы воров']",,0.0,0.0
16,Очередной жидкий птичий помет,neutral,['очередной жидкий птичий пометы'],,0.0,0.0
17,Какая русским разница что у украинцев за гимн!? Вмэрла вмэрло?! Русские то причём? И зачем об этом поднимать вопрос?,negative,"['какая русский разница', 'украинцы']",,0.0,0.0
18,"Ковту́н - редкостная скотина, тупая и визжащая!)))",negative,"['редкостная скотина', 'ковту́н']",,0.0,0.0
19,https://z1.fm/mp3/search?keywords=%D1%83%D0%BD%D0%B4%D0%B5%D1%80%D0%B2%D1%83%D0%B4&page=3,neutral,['https://z1.fm/mp3/search?keywords=%d1%83%d0%bd%d0%b4%d0%b5%d1%80%d0%b2%d1%83%d0%b4&page=3'],,0.0,0.0
20,"Про воров в правительстве лучше расскажите.Пол года не смотрел передачу,включил, и опять Украина.Хорош отвлекать народ от российских проблем и нищеты.",negative,"['российские проблемы', 'украина.хорош']",,0.0,0.0
